Title,Body,Labels,Milestone,Assignees,Status,Priority,Estimate
[M1-17] Tool: get_project,"## Summary
Implement `get_project`, the metadata read tool for workspace and blueprint project manifests.

## Context
- Projects persist their own `.genie/project.json`; project state is not nested inside a kit.
- PRD DS-022 defines the M1 behavior.

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__get_project`.
- [ ] AC2 — Input: `{ projectId: string }`.
- [ ] AC3 — Given a valid project, returns `id`, `name`, `kind`, `defaultKitId`, `kitBindings`, `screens`, `canEdit`, and optional `sourceBlueprintId`.
- [ ] AC4 — Given a blueprint project, returns `kind: ""blueprint""` with no special-case tool family.
- [ ] AC5 — Given an invalid id, raises `ERR_PROJECT_NOT_FOUND` with the id echoed.
- [ ] AC6 — Read-only projects return `canEdit: false`.

## Implementation Notes
- File: `packages/server/src/tools/get_project.ts`.
- Backed by `ProjectStore.getProject(projectId)`.
- Share schema helpers with `list_projects`.

## Out of Scope
- Loading screen file contents; use `read_file` once project-targeted file reads are introduced.

## Dependencies
- Blocks: M1-20, M1-21.
- Blocked by: M1-01, M1-16.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added for workspace, blueprint, missing, and read-only manifests.
- [ ] Docs updated if the schema changes.
- [ ] Manual verification — `get_project` reads a fixture workspace and blueprint.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:projects,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
[M1-18] Tool: create_project,"## Summary
Implement `create_project`, which creates blank workspaces, reusable blueprint projects, and workspaces instantiated from blueprints.

## Context
- D-F: a blueprint is technically a reusable project, modeled as `project.kind = ""blueprint""`.
- PRD DS-023 defines the M1 behavior.

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__create_project`.
- [ ] AC2 — Input: `{ name, kind, fromBlueprintId?, kitBindings? }`, where `kind` is `""workspace""` or `""blueprint""`.
- [ ] AC3 — Blank workspace creation writes `.genie/project.json` with `kind: ""workspace""`.
- [ ] AC4 — Blank blueprint creation writes `.genie/project.json` with `kind: ""blueprint""`.
- [ ] AC5 — Workspace-from-blueprint copies starter files and kit bindings, and records `sourceBlueprintId`.
- [ ] AC6 — Later edits to the source blueprint do not silently mutate derived workspaces.
- [ ] AC7 — Duplicate names raise `ERR_PROJECT_EXISTS` with a suggested slug.
- [ ] AC8 — Invalid `fromBlueprintId` raises `ERR_BLUEPRINT_NOT_FOUND`.

## Implementation Notes
- File: `packages/server/src/tools/create_project.ts`.
- Backed by `ProjectStore.createProject(args)`.
- Do not create a separate blueprint store or blueprint tool namespace.

## Out of Scope
- Syncing future blueprint changes into derived workspaces.
- Rich preview rendering for full-page screens.

## Dependencies
- Blocks: M1-20, M1-21.
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added for workspace, blueprint, from-blueprint, duplicate, and missing-blueprint cases.
- [ ] Docs updated if the schema changes.
- [ ] Manual verification — create a workspace and a blueprint locally.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:projects,priority:P0-critical,size:M",M1 — Kit + Project Foundation,,Todo,Urgent,6h
[M1-19] Tool: delete_project,"## Summary
Implement `delete_project`, the explicit removal tool for workspace and blueprint project targets.

## Context
- Projects are first-class targets with their own `.genie/project.json`.
- Deleting a blueprint must not delete workspaces that were previously instantiated from it.
- PRD DS-024 defines the M1 behavior.

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__delete_project`.
- [ ] AC2 — Input: `{ projectId: string }`.
- [ ] AC3 — Given an editable project, deletes it and returns `{ deletedProjectId }`.
- [ ] AC4 — Given a missing project, succeeds idempotently and reports the missing id in `_meta.warnings`.
- [ ] AC5 — Given a read-only project, raises `ERR_PROJECT_READONLY`.
- [ ] AC6 — Given a blueprint with derived workspaces, only the blueprint is deleted.

## Implementation Notes
- File: `packages/server/src/tools/delete_project.ts`.
- Backed by `ProjectStore.deleteProject(projectId)`.
- Match `delete_files` idempotency style for missing targets.

## Out of Scope
- Trash/restore UI.
- Cascade delete of derived workspaces.

## Dependencies
- Blocks: M1-14.
- Blocked by: M1-01, M1-18.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added for success, missing, read-only, and blueprint-with-derived-workspaces cases.
- [ ] Docs updated if the schema changes.
- [ ] Manual verification — deleting a fixture project leaves unrelated workspaces intact.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:projects,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
[M1-20] Tool: bind_kit,"## Summary
Implement `bind_kit`, which attaches UI kits to projects and optionally marks one as the default for screen generation.

## Context
- D-F default-kit resolution: explicit kit, project default, sole reachable kit, then stop and ask before kit-specific generation.
- PRD DS-025 defines the M1 behavior.

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__bind_kit`.
- [ ] AC2 — Input: `{ projectId, kitId, default?: boolean }`.
- [ ] AC3 — Given a valid project and kit, writes the binding to `.genie/project.json`.
- [ ] AC4 — Given `default: true`, sets `defaultKitId` and clears default status from any previous binding.
- [ ] AC5 — Given an invalid `projectId`, raises `ERR_PROJECT_NOT_FOUND`.
- [ ] AC6 — Given an invalid `kitId`, raises `ERR_KIT_NOT_FOUND`.
- [ ] AC7 — Given a blueprint project, the binding is allowed and copies into derived workspaces.
- [ ] AC8 — Binding the same kit twice is idempotent.

## Implementation Notes
- File: `packages/server/src/tools/bind_kit.ts`.
- Backed by `ProjectStore.bindKit({ projectId, kitId, default })`.
- Reuse `get_kit` validation before writing the project manifest.

## Out of Scope
- Per-screen kit overrides beyond the explicit `kitId` request field.
- ACL and sharing policy.

## Dependencies
- Blocks: M1-21.
- Blocked by: M1-01, M1-03, M1-17, M1-18.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added for new binding, default replacement, duplicate binding, invalid project, invalid kit, and blueprint binding.
- [ ] Docs updated if the schema changes.
- [ ] Manual verification — bind a kit to a fixture workspace and blueprint.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:projects,priority:P0-critical,size:M",M1 — Kit + Project Foundation,,Todo,Urgent,5h
[M1-21] Tool: conjure_screen,"## Summary
Implement `conjure_screen`, the M1 project-aware generation contract for screen artifacts.

## Context
- D-F: screens use a project and resolve kits by explicit request, project default, then sole reachable binding.
- Blueprints are reusable projects, not a separate tool family.
- PRD DS-026 defines the M1 behavior.

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__conjure_screen`.
- [ ] AC2 — Input: `{ projectId, prompt, kitId?, blueprintId?, framework?, model? }`.
- [ ] AC3 — Resolves kit in order: explicit `kitId`, project `defaultKitId`, then sole reachable binding.
- [ ] AC4 — Given no bound kit and a prompt that asks for kit-specific components, raises `ERR_PROJECT_KIT_REQUIRED`.
- [ ] AC5 — Given no bound kit and a prompt for basic structure, may generate framework-neutral screen structure but must not pretend it used a kit.
- [ ] AC6 — Given `blueprintId`, seeds the screen from that reusable project template.
- [ ] AC7 — On success, records the screen in `.genie/project.json` and returns `screenId`, `files`, and `usage`.
- [ ] AC8 — Tests use a stubbed model endpoint; no real model call is required for M1 CI.

## Implementation Notes
- File: `packages/server/src/tools/conjure_screen.ts`.
- Backed by `ProjectStore.recordScreen()` and the same generation-client interface later deepened by M2.
- Keep output as an artifact set; richer full-page preview/review UX is DS-080.

## Out of Scope
- Production prompt quality evaluation.
- Region-targeted full-page refinement.
- Freeform drag-to-reflow canvas.

## Dependencies
- Blocks: M1-14.
- Blocked by: M1-01, M1-17, M1-18, M1-20.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added for explicit/default/sole kit resolution, missing-kit failure, kitless basic structure, blueprint seed, and manifest recording.
- [ ] Docs updated if the schema changes.
- [ ] Manual verification — `conjure_screen` records a fixture screen with a stubbed model.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:projects,area:generation,priority:P0-critical,size:L",M1 — Kit + Project Foundation,,Todo,Urgent,8h
[M2-01] LLM client wrapper (OpenAI-compatible endpoint),"## Summary
Add an `openai` SDK client pointed at an operator-configured OpenAI-compatible
endpoint, wire it up with `GENIE_LLM_BASE_URL` / `GENIE_LLM_API_KEY` env vars,
and ship a thin `llm.ts` module that exposes `createChatCompletion(input)` with
retry/backoff. All future generation verbs call through this module. LiteLLM is
the reference gateway, but Ollama / OpenAI / vLLM / any compatible endpoint work
the same way (D-H) — no provider URL baked in.

## Context
- D-H (`00-decisions.md`): genie calls a **configurable OpenAI-compatible
  chat-completions endpoint**; the operator owns the model, budget, and rate
  limits. No private URL or IP in the code or docs.
- Reference implementation:
  ```ts
  import OpenAI from ""openai"";
  const client = new OpenAI({
    baseURL: process.env.GENIE_LLM_BASE_URL!,
    apiKey:  process.env.GENIE_LLM_API_KEY!,
  });
  ```

## Acceptance Criteria
- [ ] AC1 — File `packages/server/src/llm/client.ts` exports a singleton
      `llmClient` constructed from env vars.
- [ ] AC2 — Missing `GENIE_LLM_BASE_URL` or `GENIE_LLM_API_KEY` ⇒ fail fast at
      startup with `MissingLLMConfigError`.
- [ ] AC3 — No hardcoded default base URL — the operator MUST set it (there is
      no universal default endpoint). The error message names both env vars.
- [ ] AC4 — `createChatCompletion(input)` wraps `client.chat.completions.create`
      with structured logging (`{ model, promptTokens, completionTokens,
      latencyMs }`).
- [ ] AC5 — Reads `GENIE_LLM_REQUEST_TIMEOUT_MS` (default 120 000).
- [ ] AC6 — Test against a stub server confirms request shape (`model`,
      `messages`, `response_format`, `Authorization` header).

## Implementation Notes
- File: `packages/server/src/llm/client.ts`.
- `openai` v4+ supports `baseURL` override natively.
- Do NOT hardcode the API key or URL — read both from env at construction time.

## Out of Scope
- Retry/backoff (M2-06).
- Structured-output schema validation (M2-07).
- Per-tool generation logic (M2-03, M2-04).

## Dependencies
- Blocks: M2-03, M2-04.
- Blocked by: M0-04.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — stub server, config-missing path.
- [ ] Docs updated — README env-var section.
- [ ] Manual verification — `pnpm dev` boots, real chat completion succeeds.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:llm,priority:P0-critical,size:M",M2 — LLM Generation Surface,,Todo,Urgent,5h
[M2-02] Define COMPONENT_SCHEMA (JSON Schema for structured output),"## Summary
Codify the JSON Schema that `conjure` will demand from the model
(via `response_format: { type: ""json_schema"", json_schema: COMPONENT_SCHEMA }`).
Schema must describe the file set the bundled `design-sync` skill expects
under `components/<group>/<Name>/`: `<Name>.jsx`, `<Name>.tsx`, `<Name>.d.ts`,
`<Name>.prompt.md`, `<Name>.html`, `meta.json`.

## Context
- Research report §3.2 outlines the call shape but leaves
  `COMPONENT_SCHEMA` to us. §3.3 documents the file layout — the schema is
  the machine-readable mirror.
- §2.2 confirmed regex `/^<!--\s*@genie\s+group=""[^""]*""[^>]*-->/` — the
  schema must constrain the first line of `<Name>.html`.

## Acceptance Criteria
- [ ] AC1 — File `packages/server/src/llm/schema.ts` exports
      `COMPONENT_SCHEMA: JSONSchema7`.
- [ ] AC2 — Schema is Draft 7 only (no `anyOf` discriminator pattern, no
      `$ref` chains beyond a single level).
- [ ] AC3 — Top-level shape:
      `{ componentName: string, group: string, files: Array<{ path: string,
      content: string, mimeType: string }>, manifestEntry: ManifestEntry }`.
- [ ] AC4 — `path` constrained by pattern
      `^components/[a-z0-9-]+/[A-Z][A-Za-z0-9]+/[A-Za-z0-9._-]+$`.
- [ ] AC5 — At least one file in `files` must be a
      `<Name>.html` whose `content` begins with a string matching the
      `@genie` regex (validated post-hoc by M3-01, not by the schema).
- [ ] AC6 — `ManifestEntry` includes `viewport: { width: number, height:
      number }`, `subtitle?: string`, `tags?: string[]`.
- [ ] AC7 — Schema exported as both a TypeScript type (via `json-schema-to-ts`)
      and a JSON file for downstream consumers.

## Implementation Notes
- File: `packages/server/src/llm/schema.ts` + emitted
  `packages/server/dist/schemas/component.schema.json`.
- Keep nesting shallow — LiteLLM's structured-output passthrough to Anthropic
  via tool-use may not handle deep `$ref` chains.

## Out of Scope
- Vue / HTML frameworks (v1 = React only; framework switch in M2-08).

## Dependencies
- Blocks: M2-03, M2-04, M2-07.
- Blocked by: M2-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — schema validates a known-good fixture; rejects 3
      known-bad fixtures.
- [ ] Docs updated — `docs/04-tech-design-rfc.md` §3.2.
- [ ] Manual verification — `ajv validate` against fixtures.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:llm,priority:P0-critical,size:M",M2 — LLM Generation Surface,,Todo,Urgent,4h
[M2-03] Tool: conjure,"## Summary
Implement `conjure` — genie's headline verb. Takes a natural-
language prompt + optional reference image/URL, returns the file set defined
by `COMPONENT_SCHEMA`. genie's take on canvas-side generation lives here.

## Context
- Research report §3.1: `conjure({ kitId, kit, prompt, group?,
  refImageDataUrl?, refUrl?, framework?: ""react"" | ""vue"" | ""html"", model?:
  ""anthropic/claude-sonnet-4-6"" | ... }): { componentName, files: { path,
  content }[], manifestEntry }`.
- §6 honest uncertainty: ""The canvas-side generation loop … prompt shape,
  per-element artifact format, tool catalog, inline-comment edit round-trip
  protocol — is not documented anywhere public. Anthropic publishes no spec.
  This is the real R&D cost.""

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__conjure`.
- [ ] AC2 — Input: `{ kitId: string, kit: string, prompt: string, group?:
      string, refImageDataUrl?: string, refUrl?: string, framework?:
      ""react"" | ""vue"" | ""html"", model?: string }`.
- [ ] AC3 — Default `framework` = `""react""`; default `model` =
      `""design-default""` (resolved by the configured endpoint or gateway).
- [ ] AC4 — Calls `llmClient.createChatCompletion` with `response_format:
      { type: ""json_schema"", json_schema: COMPONENT_SCHEMA }` (M2-02).
- [ ] AC5 — System prompt lives in
      `packages/server/src/llm/prompts/generate-component.system.md` and is
      versioned (commit hash logged on every call).
- [ ] AC6 — If `refImageDataUrl` is set, attach as a
      vision input (`messages[0].content = [{type: ""image"", ...}]`).
- [ ] AC7 — If `refUrl` is set, fetch + inline (warn if > 1 MB).
- [ ] AC8 — Output validated against `COMPONENT_SCHEMA`; on failure, retry
      once with the validation error appended to the user prompt.
- [ ] AC9 — Returns `{ componentName, files, manifestEntry }`. Does NOT call
      `write_files` itself — that's the caller's job (keeps generation pure).
- [ ] AC10 — Logs `{ model, promptTokens, completionTokens, latencyMs,
      componentName }` per call.

## Implementation Notes
- File: `packages/server/src/tools/conjure.ts`.
- System prompt v1: take from
  `https://github.com/anthropics/skills/tree/main/canvas-design` if licence
  allows; otherwise hand-author.
- 80 % of the engineering effort here is in iterating on the system prompt.
  Track edits in `prompts/CHANGELOG.md`.

## Out of Scope
- Refinement / inline-comment edits (M2-04).
- Storybook-format output (deferred to v2).

## Dependencies
- Blocks: M2-09, M5 smoke tests.
- Blocked by: M2-01, M2-02.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → visual-validate against the mock → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Design Reference

This issue produces visual output (reference context). Validate per [`AGENTS.md`](../../../AGENTS.md) §3.

**Primary mock:** [`00-front-door.svg`](https://github.com/roshangautam/genie/blob/main/docs/designs/design-6/00-front-door.svg) — the GENERATE moment — accent applies here.

**Supporting:** [`02-preview-refine.svg`](https://github.com/roshangautam/genie/blob/main/docs/designs/design-6/02-preview-refine.svg).

**Use the mock for:** correct output shape + the **identity rule** (clay/gilt accent ONLY on generate/refine; structure stays ink/neutral). See [`MOCK-MAP.md`](../MOCK-MAP.md).

## Definition of Done
- [ ] Tests added — unit (stub LLM) + integration (real LLM endpoint with $5 cap).
- [ ] Docs updated.
- [ ] Manual verification — generate ""primary button"" against design-default.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:llm,priority:P0-critical,size:L",M2 — LLM Generation Surface,,Todo,Urgent,12h
[M2-04] Tool: refine (with optional region rect),"## Summary
Implement `refine` — the iterate-on-an-existing-component verb.
Takes an `instruction` (free-form text like ""make the border radius softer"")
and an optional `region: { x, y, w, h }` rect for canvas-style ""fix this
specific element"" edits. Returns a unified diff plus the updated files.

## Context
- Research report §3.1: `refine({ kitId, componentName,
  instruction, region?: { x, y, w, h } }): { diff: string, files: { path,
  content }[] }`.
- §6 substitute for ""canvas-side generation loop"": ""Build your own surface
  from scratch — start with a single `refine` tool that takes an
  `instruction` + optional `region` rect, returns a diff.""

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__refine`.
- [ ] AC2 — Input schema: see Summary.
- [ ] AC3 — Loads the current files for `componentName` via
      `KitStore.getFile` (one call per file in the manifestEntry).
- [ ] AC4 — Builds a prompt that includes: original `<Name>.tsx`, original
      `<Name>.html`, the `instruction`, and (if `region`) a rendered crop of
      the preview at those coords.
- [ ] AC5 — Output: a unified diff in `{ diff }` plus the full updated files
      in `{ files }`. Diff is informational; files are the source of truth.
- [ ] AC6 — Validated against `COMPONENT_SCHEMA` (M2-02) — same retry-once
      pattern as M2-03.
- [ ] AC7 — Region cropping uses headless Chromium via Playwright (M3-02's
      validator setup is a peer dependency).
- [ ] AC8 — Logs `{ componentName, hasRegion, model, promptTokens,
      completionTokens, latencyMs }`.

## Implementation Notes
- File: `packages/server/src/tools/refine.ts`.
- Region crop is implemented as a tiny helper that renders the preview HTML
  in Playwright, screenshots the rect, and base64-encodes for vision input.
- Use `diff` package for the unified-diff output.

## Out of Scope
- Multi-region edits (single region for v1).
- Voice / sketch inputs.

## Dependencies
- Blocks: nothing critical.
- Blocked by: M2-03 (shares the system prompt scaffolding).

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → visual-validate against the mock → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Design Reference

This issue produces visual output (reference context). Validate per [`AGENTS.md`](../../../AGENTS.md) §3.

**Primary mock:** [`02-preview-refine.svg`](https://github.com/roshangautam/genie/blob/main/docs/designs/design-6/02-preview-refine.svg) — the REFINE moment — sliders + region rect.

**Use the mock for:** correct output shape + the **identity rule** (clay/gilt accent ONLY on generate/refine; structure stays ink/neutral). See [`MOCK-MAP.md`](../MOCK-MAP.md).

## Definition of Done
- [ ] Tests added — unit + integration with region.
- [ ] Docs updated.
- [ ] Manual verification — refine an existing button's border radius.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,area:llm,priority:P1-high,size:L",M2 — LLM Generation Surface,,Todo,High,10h
[M2-05] Model alias config (reference: LiteLLM model_list),"## Summary
Ship a reference `model_list` config (LiteLLM-style — the reference gateway)
and document it so operators can reproduce or adapt it to their own
OpenAI-compatible endpoint (D-H). Aliases the generation verbs use:
`design-default` → a Sonnet-class model, `design-best` → an Opus-class model,
`design-local` → a local model (e.g. Ollama Qwen). Operators map these aliases
to whatever their endpoint serves.

## Context
- D-H (`00-decisions.md`): the LLM endpoint is configurable; LiteLLM is the
  reference but not required. Aliases are operator-mapped, not hardcoded.
- Reference YAML (LiteLLM example):
  ```yaml
  model_list:
    - model_name: design-default
      litellm_params: { model: anthropic/claude-sonnet-4-6, api_key: ... }
    - model_name: design-best
      litellm_params: { model: anthropic/claude-opus-4-8, ... }
    - model_name: design-local
      litellm_params: { model: ollama/qwen3-coder:32b, api_base: ... }
  ```

## Acceptance Criteria
- [ ] AC0 — Confirm the operator's actual model catalog (via the endpoint's
      `/v1/models`) before configuring aliases — placeholder model IDs below
      (`claude-opus-4-8`, `qwen3-coder:32b`) must match real catalog entries;
      substitute the actual current names.
- [ ] AC1 — File `deploy/litellm/config.yaml` checked into the repo as the
      reference example (operators adapt it to their endpoint).
- [ ] AC2 — Three aliases defined; passthrough secret refs use
      `os.environ/ANTHROPIC_API_KEY` and `os.environ/OLLAMA_API_BASE`.
- [ ] AC3 — Per-key budget block: each MCP-server caller gets 50 USD / month
      hard cap (configurable per-deployment).
- [ ] AC4 — Per-key rate limit: 20 RPM, 200 KTPM (matches
      `claude-sonnet-4-6` tier defaults).
- [ ] AC5 — Docs include the `litellm proxy --config
      deploy/litellm/config.yaml` reload command.

## Implementation Notes
- Path: `deploy/litellm/config.yaml`.
- Reference: <https://docs.litellm.ai/docs/proxy/users>.

## Out of Scope
- Provisioning a gateway itself; this issue only ships the reference alias config.

## Dependencies
- Blocks: nothing.
- Blocked by: M2-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — N/A (config file).
- [ ] Docs updated — `docs/plan/06-operations-runbook.md`.
- [ ] Manual verification — restart LiteLLM, hit `/v1/models`, see 3 aliases.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:infra,area:llm,priority:P1-high,size:S",M2 — LLM Generation Surface,,Todo,High,3h
"[M2-06] Retry/backoff for LLM endpoint calls (exponential, jittered)","## Summary
Add retry/backoff middleware around `llmClient.createChatCompletion` for
transient failures (429 rate limit, 502/503/504, network ECONNRESET).
Exponential backoff with jitter, max 3 retries, surface a typed
`RateLimitedError` so callers can react.

## Context
- OpenAI-compatible gateways commonly pass through provider 429 responses with
  `Retry-After` headers; the client must honour them.

## Acceptance Criteria
- [ ] AC1 — File `packages/server/src/llm/retry.ts` exports
      `withRetry(handler, opts)`.
- [ ] AC2 — Retries on: HTTP 429, 5xx, network errors (`ECONNRESET`,
      `ETIMEDOUT`). Does NOT retry on: 4xx (other), schema validation fails.
- [ ] AC3 — Honours `Retry-After` header when present.
- [ ] AC4 — Backoff: base 1 s, cap 30 s, jitter ±20 %.
- [ ] AC5 — Max 3 retries total (configurable via
      `GENIE_LLM_RETRY_MAX`).
- [ ] AC6 — On exhaustion, throws typed `RateLimitedError | TransientError`.
- [ ] AC7 — Each attempt logged with `{ attempt, status, retryAfter }`.

## Implementation Notes
- File: `packages/server/src/llm/retry.ts`.
- `M2-01`'s `createChatCompletion` is wrapped: `withRetry(createChatCompletion)`.

## Out of Scope
- Circuit breaker (out of scope for v1).
- Cross-model fallback (use `design-best` if `design-default` fails) — defer
  to v2.

## Dependencies
- Blocks: nothing critical.
- Blocked by: M2-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — 429 with Retry-After, transient 5xx, ECONNRESET,
      exhausted retries.
- [ ] Docs updated.
- [ ] Manual verification.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:llm,priority:P1-high,size:S",M2 — LLM Generation Surface,,Todo,High,3h
